start_frame	end_frame	note
31607	31608	tape_clip_value
31622	31631	tape_clip_value
31633	31633	tape_clip_value
31635	31645	tape_clip_value
31651	31673	tape_clip_value
31675	31675	tape_clip_value
31688	31688	tape_clip_value
31692	31692	tape_clip_value
31694	31694	tape_clip_value
31701	31701	tape_clip_value
31785	31785	tape_clip_value
31793	31793	tape_clip_value
31838	31838	tape_clip_value
31840	31840	tape_clip_value
31845	31846	tape_clip_value
31848	31848	tape_clip_value
31871	31872	tape_clip_value
31874	31875	tape_clip_value
31879	31879	tape_clip_value
31881	31881	tape_clip_value
31891	31891	tape_clip_value
31900	31900	tape_clip_value
31910	31910	tape_clip_value
31912	31914	tape_clip_value
31916	31917	tape_clip_value
31919	31919	tape_clip_value
31924	31927	tape_clip_value
31929	31933	tape_clip_value
31937	31938	tape_clip_value
31941	31942	tape_clip_value
31945	31945	tape_clip_value
31948	31948	tape_clip_value
32142	32142	tape_clip_value
32509	32509	tape_clip_value
32516	32516	tape_clip_value
32524	32525	tape_clip_value
32557	32559	tape_clip_value
32562	32562	tape_clip_value
32574	32575	tape_clip_value
32580	32580	tape_clip_value
32584	32584	tape_clip_value
32587	32587	tape_clip_value
32589	32589	tape_clip_value
32610	32610	tape_clip_value
32614	32614	tape_clip_value
32616	32617	tape_clip_value
32619	32621	tape_clip_value
32625	32625	tape_clip_value
32627	32627	tape_clip_value
32629	32630	tape_clip_value
32635	32636	tape_clip_value
32643	32643	tape_clip_value
32650	32650	tape_clip_value
32653	32657	tape_clip_value
32659	32659	tape_clip_value
32661	32663	tape_clip_value
32670	32670	tape_clip_value
32716	32716	tape_clip_value
32739	32739	tape_clip_value
32744	32744	tape_clip_value
32747	32747	tape_clip_value
32750	32751	tape_clip_value
32760	32760	tape_clip_value
32762	32762	tape_clip_value
32764	32764	tape_clip_value
32767	32768	tape_clip_value
32777	32777	tape_clip_value
32781	32783	tape_clip_value
32785	32785	tape_clip_value
32793	32793	tape_clip_value
32796	32797	tape_clip_value
32885	32885	tape_clip_value
32887	32888	tape_clip_value
32896	32896	tape_clip_value
33161	33161	tape_clip_value
33905	33905	tape_clip_value
33925	33926	tape_clip_value
33929	33929	tape_clip_value
33940	33940	tape_clip_value
34163	34163	tape_clip_value
34166	34166	tape_clip_value
35884	35884	tape_clip_value
35886	35887	tape_clip_value
35890	35890	tape_clip_value
35892	35895	tape_clip_value
35897	35898	tape_clip_value
35901	35902	tape_clip_value
35905	35905	tape_clip_value
36049	36049	tape_clip_value
36093	36094	tape_clip_value
36114	36114	tape_clip_value
36120	36123	tape_clip_value
36323	36323	tape_clip_value
36326	36326	tape_clip_value
37161	37161	tape_clip_value
37178	37179	tape_clip_value
39470	39471	tape_clip_value
39478	39478	tape_clip_value
39481	39482	tape_clip_value
39510	39511	tape_clip_value
39516	39518	tape_clip_value
39525	39525	tape_clip_value
39527	39528	tape_clip_value
39531	39532	tape_clip_value
39534	39535	tape_clip_value
39537	39538	tape_clip_value
39540	39542	tape_clip_value
39544	39544	tape_clip_value
39546	39546	tape_clip_value
39550	39550	tape_clip_value
39552	39552	tape_clip_value
39573	39575	tape_clip_value
39592	39592	tape_clip_value
39769	39769	tape_clip_value
39771	39771	tape_clip_value
46070	46070	tape_clip_value
46072	46073	tape_clip_value
47091	47091	tape_clip_value
47098	47100	tape_clip_value
47102	47102	tape_clip_value
47450	47451	tape_clip_value
47453	47453	tape_clip_value
47464	47465	tape_clip_value
48052	48052	tape_clip_value
48659	48662	tape_clip_value
49315	49319	tape_clip_value
49322	49327	tape_clip_value
49354	49354	tape_clip_value
49859	49859	tape_clip_value
50006	50006	tape_clip_value
50663	50664	tape_clip_value
51418	51418	tape_clip_value
51626	51629	tape_clip_value
52385	52386	tape_clip_value
52676	52676	tape_clip_value
52699	52699	tape_clip_value
53315	53315	tape_clip_value
53318	53318	tape_clip_value
53416	53417	tape_clip_value
54153	54155	tape_clip_value
54487	54487	tape_clip_value
54490	54490	tape_clip_value
54599	54599	tape_clip_value
54933	54933	tape_clip_value
54962	54963	tape_clip_value
54966	54967	tape_clip_value
54971	54971	tape_clip_value
54985	54985	tape_clip_value
55595	55595	tape_clip_value
56225	56225	tape_clip_value
56233	56233	tape_clip_value
56458	56458	tape_clip_value
56487	56487	tape_clip_value
56492	56492	tape_clip_value
56495	56496	tape_clip_value
56502	56503	tape_clip_value
56505	56507	tape_clip_value
56509	56509	tape_clip_value
56511	56511	tape_clip_value
56519	56521	tape_clip_value
56756	56756	tape_clip_value
56851	56851	tape_clip_value
56877	56877	tape_clip_value
57266	57266	tape_clip_value
57274	57274	tape_clip_value
57310	57312	tape_clip_value
57321	57321	tape_clip_value
57334	57334	tape_clip_value
57341	57341	tape_clip_value
57364	57364	tape_clip_value
57368	57368	tape_clip_value
58448	58448	tape_clip_value
58452	58457	tape_clip_value
58469	58469	tape_clip_value
60882	60882	tape_clip_value
60884	60885	tape_clip_value
60925	60925	tape_clip_value
61005	61009	tape_clip_value
61015	61015	tape_clip_value
61018	61018	tape_clip_value
61322	61323	tape_clip_value
61573	61573	tape_clip_value
62225	62225	tape_clip_value
62231	62231	tape_clip_value
62234	62236	tape_clip_value
62254	62254	tape_clip_value
62264	62264	tape_clip_value
62400	62400	tape_clip_value
62635	62635	tape_clip_value
62704	62705	tape_clip_value
62708	62710	tape_clip_value
62712	62713	tape_clip_value
63454	63454	tape_clip_value
63830	63830	tape_clip_value
63834	63837	tape_clip_value
63843	63844	tape_clip_value
63846	63846	tape_clip_value
63849	63850	tape_clip_value
63854	63854	tape_clip_value
63857	63858	tape_clip_value
63860	63861	tape_clip_value
63865	63865	tape_clip_value
63868	63869	tape_clip_value
63883	63883	tape_clip_value
63885	63885	tape_clip_value
63888	63888	tape_clip_value
63890	63890	tape_clip_value
63893	63894	tape_clip_value
63896	63898	tape_clip_value
63922	63923	tape_clip_value
63925	63926	tape_clip_value
64102	64103	tape_clip_value
64106	64106	tape_clip_value
64108	64108	tape_clip_value
64470	64471	tape_clip_value
64477	64477	tape_clip_value
64491	64491	tape_clip_value
64558	64558	tape_clip_value
64562	64564	tape_clip_value
64569	64569	tape_clip_value
64572	64573	tape_clip_value
64601	64601	tape_clip_value
64630	64630	tape_clip_value
65130	65131	tape_clip_value
65161	65162	tape_clip_value
65179	65179	tape_clip_value
65296	65296	tape_clip_value
65299	65299	tape_clip_value
65303	65303	tape_clip_value
65458	65459	tape_clip_value
65494	65494	tape_clip_value
65514	65515	tape_clip_value
65521	65521	tape_clip_value
65528	65530	tape_clip_value
65538	65538	tape_clip_value
65549	65549	tape_clip_value
65553	65559	tape_clip_value
65564	65564	tape_clip_value
65566	65566	tape_clip_value
65574	65574	tape_clip_value
65595	65595	tape_clip_value
65614	65628	tape_clip_value
65673	65675	tape_clip_value
65679	65679	tape_clip_value
65683	65687	tape_clip_value
65689	65692	tape_clip_value
65696	65696	tape_clip_value
65698	65709	tape_clip_value
65714	65715	tape_clip_value
65717	65717	tape_clip_value
65719	65719	tape_clip_value
65721	65723	tape_clip_value
65726	65728	tape_clip_value
65732	65734	tape_clip_value
65736	65736	tape_clip_value
65738	65739	tape_clip_value
65746	65748	tape_clip_value
65751	65751	tape_clip_value
65754	65755	tape_clip_value
65757	65757	tape_clip_value
65767	65772	tape_clip_value
65775	65775	tape_clip_value
65777	65777	tape_clip_value
65779	65783	tape_clip_value
65785	65785	tape_clip_value
65787	65790	tape_clip_value
65797	65797	tape_clip_value
65799	65805	tape_clip_value
65807	65807	tape_clip_value
65813	65813	tape_clip_value
65817	65828	tape_clip_value
65830	65831	tape_clip_value
65834	65834	tape_clip_value
65838	65840	tape_clip_value
65844	65845	tape_clip_value
65847	65851	tape_clip_value
65854	65863	tape_clip_value
65866	65879	tape_clip_value
65884	65884	tape_clip_value
65886	65890	tape_clip_value
65892	65897	tape_clip_value
65899	65903	tape_clip_value
65905	65905	tape_clip_value
65907	65909	tape_clip_value
65911	65915	tape_clip_value
65917	65924	tape_clip_value
65927	65930	tape_clip_value
65932	65938	tape_clip_value
65940	65942	tape_clip_value
65945	65955	tape_clip_value
65957	65960	tape_clip_value
65962	65971	tape_clip_value
65975	65975	tape_clip_value
65977	65977	tape_clip_value
65980	65982	tape_clip_value
65984	65987	tape_clip_value
65990	65999	tape_clip_value
66002	66009	tape_clip_value
66011	66012	tape_clip_value
66016	66016	tape_clip_value
66018	66021	tape_clip_value
66023	66023	tape_clip_value
66027	66027	tape_clip_value
66029	66031	tape_clip_value
66035	66037	tape_clip_value
66041	66041	tape_clip_value
66043	66044	tape_clip_value
66046	66046	tape_clip_value
